MonthYear,Station,Station_Type,Entry_Exit,Trip
2024-10-01 00:00:00.000,Helensburgh  Station,Train,Exit,9138
2024-10-01 00:00:00.000,Hexham  Station,Train,Entry,233
2024-10-01 00:00:00.000,Hexham  Station,Train,Exit,229
2024-10-01 00:00:00.000,High Street  Station,Train,Entry,395
2024-10-01 00:00:00.000,High Street  Station,Train,Exit,435
2024-10-01 00:00:00.000,Hilldale  Station,Train,Entry,Less than 50
2024-10-01 00:00:00.000,Hilldale  Station,Train,Exit,Less than 50
2024-10-01 00:00:00.000,Hills Showground  Station,Metro,Entry,100586
2024-10-01 00:00:00.000,Hills Showground  Station,Metro,Exit,96370
2024-10-01 00:00:00.000,Holsworthy  Station,Train,Entry,70534
2024-10-01 00:00:00.000,Holsworthy  Station,Train,Exit,67098
2024-10-01 00:00:00.000,Homebush  Station,Train,Entry,94152
2024-10-01 00:00:00.000,Homebush  Station,Train,Exit,89397
2024-10-01 00:00:00.000,Hornsby  Station,Train,Entry,285790
2024-10-01 00:00:00.000,Hornsby  Station,Train,Exit,288247
2024-10-01 00:00:00.000,Hurstville  Station,Train,Entry,492294
2024-10-01 00:00:00.000,Hurstville  Station,Train,Exit,495994
2024-10-01 00:00:00.000,Ingleburn  Station,Train,Entry,73255
2024-10-01 00:00:00.000,Ingleburn  Station,Train,Exit,72533
2024-10-01 00:00:00.000,International  Station,Train,Entry,151337
2024-10-01 00:00:00.000,International  Station,Train,Exit,135916
2024-10-01 00:00:00.000,Jannali  Station,Train,Entry,56616
2024-10-01 00:00:00.000,Jannali  Station,Train,Exit,53203
2024-10-01 00:00:00.000,Katoomba  Station,Train,Entry,33285
2024-10-01 00:00:00.000,Katoomba  Station,Train,Exit,33875
2024-10-01 00:00:00.000,Kellyville  Station,Metro,Entry,102127
2024-10-01 00:00:00.000,Kellyville  Station,Metro,Exit,100167
2024-10-01 00:00:00.000,Kembla Grange  Station,Train,Entry,268
2024-10-01 00:00:00.000,Kembla Grange  Station,Train,Exit,325
2024-10-01 00:00:00.000,Kiama  Station,Train,Entry,14375
2024-10-01 00:00:00.000,Kiama  Station,Train,Exit,14375
2024-10-01 00:00:00.000,Killara  Station,Train,Entry,46611
2024-10-01 00:00:00.000,Killara  Station,Train,Exit,44599
2024-10-01 00:00:00.000,Kings Cross  Station,Train,Entry,356379
2024-10-01 00:00:00.000,Kings Cross  Station,Train,Exit,371570
2024-10-01 00:00:00.000,Kingsgrove  Station,Train,Entry,55449
2024-10-01 00:00:00.000,Kingsgrove  Station,Train,Exit,52285
2024-10-01 00:00:00.000,Kingswood  Station,Train,Entry,53711
2024-10-01 00:00:00.000,Kingswood  Station,Train,Exit,50126
2024-10-01 00:00:00.000,Kirrawee  Station,Train,Entry,41620
2024-10-01 00:00:00.000,Kirrawee  Station,Train,Exit,40122
2024-10-01 00:00:00.000,Kogarah  Station,Train,Entry,266385
2024-10-01 00:00:00.000,Kogarah  Station,Train,Exit,256771
2024-10-01 00:00:00.000,Koolewong  Station,Train,Entry,1663
2024-10-01 00:00:00.000,Koolewong  Station,Train,Exit,1240
2024-10-01 00:00:00.000,Kotara  Station,Train,Entry,1442
2024-10-01 00:00:00.000,Kotara  Station,Train,Exit,1735
2024-10-01 00:00:00.000,Lapstone  Station,Train,Entry,1863
2024-10-01 00:00:00.000,Lapstone  Station,Train,Exit,1664
2024-10-01 00:00:00.000,Lawson  Station,Train,Entry,3457
2024-10-01 00:00:00.000,Lawson  Station,Train,Exit,3360
2024-10-01 00:00:00.000,Leightonfield  Station,Train,Entry,5410
2024-10-01 00:00:00.000,Leightonfield  Station,Train,Exit,5277
2024-10-01 00:00:00.000,Leppington  Station,Train,Entry,100687
2024-10-01 00:00:00.000,Leppington  Station,Train,Exit,96542
2024-10-01 00:00:00.000,Leumeah  Station,Train,Entry,60330
2024-10-01 00:00:00.000,Leumeah  Station,Train,Exit,57067
2024-10-01 00:00:00.000,Leura  Station,Train,Entry,13074
2024-10-01 00:00:00.000,Leura  Station,Train,Exit,10765
2024-10-01 00:00:00.000,Lewisham  Station,Train,Entry,64866
2024-10-01 00:00:00.000,Lewisham  Station,Train,Exit,61274
2024-10-01 00:00:00.000,Lidcombe  Station,Train,Entry,424036
2024-10-01 00:00:00.000,Lidcombe  Station,Train,Exit,426129
2024-10-01 00:00:00.000,Linden  Station,Train,Entry,351
2024-10-01 00:00:00.000,Linden  Station,Train,Exit,271
2024-10-01 00:00:00.000,Lindfield  Station,Train,Entry,91654
2024-10-01 00:00:00.000,Lindfield  Station,Train,Exit,90037
2024-10-01 00:00:00.000,Lisarow  Station,Train,Entry,3251
2024-10-01 00:00:00.000,Lisarow  Station,Train,Exit,2893
2024-10-01 00:00:00.000,Lithgow  Station,Train,Entry,6825
2024-10-01 00:00:00.000,Lithgow  Station,Train,Exit,6199
2024-10-01 00:00:00.000,Liverpool  Station,Train,Entry,215085
2024-10-01 00:00:00.000,Liverpool  Station,Train,Exit,211290
2024-10-01 00:00:00.000,Lochinvar  Station,Train,Entry,Less than 50
2024-10-01 00:00:00.000,Lochinvar  Station,Train,Exit,Less than 50
2024-10-01 00:00:00.000,Loftus  Station,Train,Entry,8967
2024-10-01 00:00:00.000,Loftus  Station,Train,Exit,8279
2024-10-01 00:00:00.000,Lysaghts  Station,Train,Entry,Less than 50
2024-10-01 00:00:00.000,Lysaghts  Station,Train,Exit,Less than 50
2024-10-01 00:00:00.000,Macarthur  Station,Train,Entry,73628
2024-10-01 00:00:00.000,Macarthur  Station,Train,Exit,72263
2024-10-01 00:00:00.000,Macdonaldtown  Station,Train,Entry,25478
2024-10-01 00:00:00.000,Macdonaldtown  Station,Train,Exit,25191
2024-10-01 00:00:00.000,Macquarie Fields  Station,Train,Entry,22710
2024-10-01 00:00:00.000,Macquarie Fields  Station,Train,Exit,21924
2024-10-01 00:00:00.000,Macquarie Park  Station,Metro,Entry,113337
2024-10-01 00:00:00.000,Macquarie Park  Station,Metro,Exit,112407
2024-10-01 00:00:00.000,Macquarie University  Station,Metro,Entry,399897
2024-10-01 00:00:00.000,Macquarie University  Station,Metro,Exit,405222
2024-10-01 00:00:00.000,Maitland  Station,Train,Entry,10064
2024-10-01 00:00:00.000,Maitland  Station,Train,Exit,9342
2024-10-01 00:00:00.000,Marayong  Station,Train,Entry,25103
2024-10-01 00:00:00.000,Marayong  Station,Train,Exit,22802
2024-10-01 00:00:00.000,Martin Place  Station,Metro Shared,Entry,820203
2024-10-01 00:00:00.000,Martin Place  Station,Metro Shared,Exit,906918
2024-10-01 00:00:00.000,Martins Creek  Station,Train,Entry,Less than 50
2024-10-01 00:00:00.000,Martins Creek  Station,Train,Exit,Less than 50
2024-10-01 00:00:00.000,Marulan  Station,Train,Entry,66
2024-10-01 00:00:00.000,Marulan  Station,Train,Exit,51
2024-10-01 00:00:00.000,Mascot  Station,Train,Entry,416908
2024-10-01 00:00:00.000,Mascot  Station,Train,Exit,420260
2024-10-01 00:00:00.000,Meadowbank  Station,Train,Entry,123209
2024-10-01 00:00:00.000,Meadowbank  Station,Train,Exit,111662
