Station,Entry_Exit,Trip,Month,Year
Panania Station,Exit,36651,10,2024
Parramatta Station,Entry,1024871,10,2024
Parramatta Station,Exit,1047203,10,2024
Pendle Hill Station,Entry,75268,10,2024
Pendle Hill Station,Exit,70670,10,2024
Pennant Hills Station,Entry,40248,10,2024
Pennant Hills Station,Exit,39110,10,2024
Penrith Station,Entry,180839,10,2024
Penrith Station,Exit,183502,10,2024
Penshurst Station,Entry,73678,10,2024
Penshurst Station,Exit,64273,10,2024
Petersham Station,Entry,79717,10,2024
Petersham Station,Exit,78120,10,2024
Pymble Station,Entry,50310,10,2024
Pymble Station,Exit,46820,10,2024
Quakers Hill Station,Entry,60873,10,2024
Quakers Hill Station,Exit,55456,10,2024
Redfern Station,Entry,639520,10,2024
Redfern Station,Exit,687911,10,2024
Regents Park Station,Entry,39578,10,2024
Regents Park Station,Exit,37280,10,2024
Revesby Station,Entry,128028,10,2024
Revesby Station,Exit,126089,10,2024
Rhodes Station,Entry,239950,10,2024
Rhodes Station,Exit,237856,10,2024
Richmond Station,Entry,18040,10,2024
Richmond Station,Exit,15676,10,2024
Riverstone Station,Entry,30280,10,2024
Riverstone Station,Exit,27543,10,2024
Riverwood Station,Entry,83942,10,2024
Riverwood Station,Exit,79157,10,2024
Rockdale Station,Entry,252969,10,2024
Rockdale Station,Exit,244713,10,2024
Rooty Hill Station,Entry,89215,10,2024
Rooty Hill Station,Exit,84793,10,2024
Roseville Station,Entry,67071,10,2024
Roseville Station,Exit,63887,10,2024
Schofields Station,Entry,105360,10,2024
Schofields Station,Exit,99183,10,2024
Sefton Station,Entry,20284,10,2024
Sefton Station,Exit,18796,10,2024
Seven Hills Station,Entry,145937,10,2024
Seven Hills Station,Exit,138777,10,2024
St James Station,Entry,170765,10,2024
St James Station,Exit,188285,10,2024
St Leonards Station,Entry,263314,10,2024
St Leonards Station,Exit,263371,10,2024
St Marys Station,Entry,107770,10,2024
St Marys Station,Exit,103991,10,2024
St Peters Station,Entry,70946,10,2024
