Station,Entry_Exit,Trip,Month,Year
Fairfield Station,Entry,120403,2,2025
Fairfield Station,Exit,116293,2,2025
Flemington Station,Entry,110256,2,2025
Flemington Station,Exit,105628,2,2025
Glenfield Station,Entry,116563,2,2025
Glenfield Station,Exit,110989,2,2025
Gordon Station,Entry,156653,2,2025
Gordon Station,Exit,152830,2,2025
Granville Station,Entry,147608,2,2025
Granville Station,Exit,138453,2,2025
Green Square Station,Entry,200534,2,2025
Green Square Station,Exit,196245,2,2025
Guildford Station,Entry,60292,2,2025
Guildford Station,Exit,53655,2,2025
Gymea Station,Entry,40803,2,2025
Gymea Station,Exit,37893,2,2025
Harris Park Station,Entry,56718,2,2025
Harris Park Station,Exit,57857,2,2025
Heathcote Station,Entry,10441,2,2025
Heathcote Station,Exit,10578,2,2025
Helensburgh Station,Entry,8950,2,2025
Helensburgh Station,Exit,8155,2,2025
Holsworthy Station,Entry,60950,2,2025
Holsworthy Station,Exit,57656,2,2025
Homebush Station,Entry,84049,2,2025
Homebush Station,Exit,79911,2,2025
Hornsby Station,Entry,260620,2,2025
Hornsby Station,Exit,265559,2,2025
Hurstville Station,Entry,426880,2,2025
Hurstville Station,Exit,429218,2,2025
Ingleburn Station,Entry,63560,2,2025
Ingleburn Station,Exit,62520,2,2025
Jannali Station,Entry,51351,2,2025
Jannali Station,Exit,48841,2,2025
Killara Station,Entry,42580,2,2025
Killara Station,Exit,40362,2,2025
Kings Cross Station,Entry,329335,2,2025
Kings Cross Station,Exit,340452,2,2025
Kingsgrove Station,Entry,47143,2,2025
Kingsgrove Station,Exit,44083,2,2025
Kingswood Station,Entry,42068,2,2025
Kingswood Station,Exit,39057,2,2025
Kirrawee Station,Entry,37149,2,2025
Kirrawee Station,Exit,35924,2,2025
Kogarah Station,Entry,230473,2,2025
Kogarah Station,Exit,219870,2,2025
Leightonfield Station,Entry,4141,2,2025
Leightonfield Station,Exit,4095,2,2025
Leppington Station,Entry,89123,2,2025
Leppington Station,Exit,85160,2,2025
Leumeah Station,Entry,50428,2,2025
Leumeah Station,Exit,47562,2,2025
Lewisham Station,Entry,56851,2,2025
Lewisham Station,Exit,53347,2,2025
Lidcombe Station,Entry,280975,2,2025
Lidcombe Station,Exit,275505,2,2025
Lindfield Station,Entry,83395,2,2025
Lindfield Station,Exit,81365,2,2025
Liverpool Station,Entry,183383,2,2025
Liverpool Station,Exit,179574,2,2025
Loftus Station,Entry,8764,2,2025
Loftus Station,Exit,8219,2,2025
Macarthur Station,Entry,59589,2,2025
Macarthur Station,Exit,58424,2,2025
Macdonaldtown Station,Entry,24916,2,2025
Macdonaldtown Station,Exit,24171,2,2025
Macquarie Fields Station,Entry,20658,2,2025
Macquarie Fields Station,Exit,19247,2,2025
Marayong Station,Entry,20595,2,2025
Marayong Station,Exit,18612,2,2025
Martin Place Station,Entry,810307,2,2025
Martin Place Station,Exit,899578,2,2025
Mascot Station,Entry,345670,2,2025
Mascot Station,Exit,345289,2,2025
Meadowbank Station,Entry,108238,2,2025
Meadowbank Station,Exit,97869,2,2025
Merrylands Station,Entry,127039,2,2025
Merrylands Station,Exit,123960,2,2025
Milsons Point Station,Entry,155947,2,2025
Milsons Point Station,Exit,164877,2,2025
Minto Station,Entry,61925,2,2025
Minto Station,Exit,58786,2,2025
Miranda Station,Entry,72590,2,2025
Miranda Station,Exit,74444,2,2025
Mortdale Station,Entry,70749,2,2025
Mortdale Station,Exit,64228,2,2025
Mount Colah Station,Entry,12840,2,2025
Mount Colah Station,Exit,11423,2,2025
Mount Druitt Station,Entry,127561,2,2025
Mount Druitt Station,Exit,125767,2,2025
Mount Kuring-gai Station,Entry,4393,2,2025
Mount Kuring-gai Station,Exit,4208,2,2025
Mulgrave Station,Entry,4409,2,2025
Mulgrave Station,Exit,4460,2,2025
Museum Station,Entry,211319,2,2025
Museum Station,Exit,239289,2,2025
Narwee Station,Entry,38826,2,2025
Narwee Station,Exit,35045,2,2025
Newtown Station,Entry,228797,2,2025
Newtown Station,Exit,257961,2,2025
Normanhurst Station,Entry,25486,2,2025
Normanhurst Station,Exit,20126,2,2025
North Strathfield Station,Entry,53512,2,2025
North Strathfield Station,Exit,52472,2,2025
North Sydney Station,Entry,222715,2,2025
North Sydney Station,Exit,241212,2,2025
Oatley Station,Entry,40758,2,2025
Oatley Station,Exit,38542,2,2025
Olympic Park Station,Entry,110317,2,2025
Olympic Park Station,Exit,127434,2,2025
Padstow Station,Entry,53209,2,2025
Padstow Station,Exit,48296,2,2025
Panania Station,Entry,35106,2,2025
Panania Station,Exit,32354,2,2025
Parramatta Station,Entry,882644,2,2025
Parramatta Station,Exit,892838,2,2025
Pendle Hill Station,Entry,63056,2,2025
Pendle Hill Station,Exit,58281,2,2025
Pennant Hills Station,Entry,35778,2,2025
Pennant Hills Station,Exit,33892,2,2025
Penrith Station,Entry,149892,2,2025
Penrith Station,Exit,152483,2,2025
Penshurst Station,Entry,62717,2,2025
Penshurst Station,Exit,53932,2,2025
Petersham Station,Entry,74720,2,2025
Petersham Station,Exit,72143,2,2025
Pymble Station,Entry,48805,2,2025
Pymble Station,Exit,44693,2,2025
Quakers Hill Station,Entry,51314,2,2025
Quakers Hill Station,Exit,44867,2,2025
Redfern Station,Entry,510847,2,2025
Redfern Station,Exit,553877,2,2025
Regents Park Station,Entry,28739,2,2025
Regents Park Station,Exit,26500,2,2025
Revesby Station,Entry,116469,2,2025
Revesby Station,Exit,114220,2,2025
Rhodes Station,Entry,197173,2,2025
Rhodes Station,Exit,193559,2,2025
Richmond Station,Entry,14597,2,2025
Richmond Station,Exit,13291,2,2025
Riverstone Station,Entry,23837,2,2025
Riverstone Station,Exit,21918,2,2025
Riverwood Station,Entry,70149,2,2025
Riverwood Station,Exit,66031,2,2025
Rockdale Station,Entry,213210,2,2025
Rockdale Station,Exit,205485,2,2025
Rooty Hill Station,Entry,71924,2,2025
Rooty Hill Station,Exit,67816,2,2025
Roseville Station,Entry,62133,2,2025
Roseville Station,Exit,58746,2,2025
Schofields Station,Entry,82477,2,2025
Schofields Station,Exit,77482,2,2025
Sefton Station,Entry,17110,2,2025
Sefton Station,Exit,15537,2,2025
Seven Hills Station,Entry,117771,2,2025
Seven Hills Station,Exit,111552,2,2025
St James Station,Entry,149585,2,2025
St James Station,Exit,169479,2,2025
St Leonards Station,Entry,220924,2,2025
St Leonards Station,Exit,222408,2,2025
St Marys Station,Entry,92362,2,2025
St Marys Station,Exit,89520,2,2025
St Peters Station,Entry,58831,2,2025
St Peters Station,Exit,51466,2,2025
Stanmore Station,Entry,66174,2,2025
Stanmore Station,Exit,60433,2,2025
Strathfield Station,Entry,551034,2,2025
Strathfield Station,Exit,536110,2,2025
Summer Hill Station,Entry,71477,2,2025
Summer Hill Station,Exit,67366,2,2025
Sutherland Station,Entry,143373,2,2025
Sutherland Station,Exit,141118,2,2025
Sydenham Station,Entry,476184,2,2025
Sydenham Station,Exit,470552,2,2025
Tempe Station,Entry,28734,2,2025
Tempe Station,Exit,27469,2,2025
Thornleigh Station,Entry,33983,2,2025
Thornleigh Station,Exit,32646,2,2025
Toongabbie Station,Entry,58646,2,2025
Toongabbie Station,Exit,55352,2,2025
Town Hall Station,Entry,1617361,2,2025
Town Hall Station,Exit,1541738,2,2025
Turramurra Station,Entry,77583,2,2025
Turramurra Station,Exit,73175,2,2025
Turrella Station,Entry,23081,2,2025
Turrella Station,Exit,21206,2,2025
Villawood Station,Entry,9827,2,2025
Villawood Station,Exit,9352,2,2025
Vineyard Station,Entry,3278,2,2025
Vineyard Station,Exit,3027,2,2025
Wahroonga Station,Entry,41754,2,2025
Wahroonga Station,Exit,39072,2,2025
Waitara Station,Entry,63625,2,2025
Waitara Station,Exit,57617,2,2025
Warrawee Station,Entry,21246,2,2025
Warrawee Station,Exit,19069,2,2025
Warwick Farm Station,Entry,49323,2,2025
Warwick Farm Station,Exit,44897,2,2025
Waterfall Station,Entry,8292,2,2025
Waterfall Station,Exit,8742,2,2025
Waverton Station,Entry,41327,2,2025
Waverton Station,Exit,36126,2,2025
Wentworthville Station,Entry,75970,2,2025
Wentworthville Station,Exit,73042,2,2025
Werrington Station,Entry,25372,2,2025
Werrington Station,Exit,22311,2,2025
West Ryde Station,Entry,94625,2,2025
West Ryde Station,Exit,94428,2,2025
Westmead Station,Entry,135486,2,2025
Westmead Station,Exit,126864,2,2025
Windsor Station,Entry,13599,2,2025
Windsor Station,Exit,13246,2,2025
Wolli Creek Station,Entry,192845,2,2025
Wolli Creek Station,Exit,193163,2,2025
Wollstonecraft Station,Entry,43657,2,2025
Wollstonecraft Station,Exit,39606,2,2025
Woolooware Station,Entry,24570,2,2025
Woolooware Station,Exit,23272,2,2025
Wynyard Station,Entry,1043048,2,2025
Wynyard Station,Exit,1098772,2,2025
Yagoona Station,Entry,19008,2,2025
Yagoona Station,Exit,17383,2,2025
Yennora Station,Entry,22352,2,2025
Yennora Station,Exit,23276,2,2025
Allawah Station,Entry,61982,3,2025
Allawah Station,Exit,55981,3,2025
Arncliffe Station,Entry,58683,3,2025
Arncliffe Station,Exit,53529,3,2025
Artarmon Station,Entry,106245,3,2025
Artarmon Station,Exit,100482,3,2025
Ashfield Station,Entry,271193,3,2025
Ashfield Station,Exit,269097,3,2025
Asquith Station,Entry,33009,3,2025
Asquith Station,Exit,29097,3,2025
Auburn Station,Entry,370136,3,2025
Auburn Station,Exit,353350,3,2025
Banksia Station,Entry,35967,3,2025
Banksia Station,Exit,32958,3,2025
Bankstown Station,Entry,75196,3,2025
Bankstown Station,Exit,78036,3,2025
Bardwell Park Station,Entry,25476,3,2025
Bardwell Park Station,Exit,22761,3,2025
Beecroft Station,Entry,34299,3,2025
Beecroft Station,Exit,33259,3,2025
Belmore Station,Entry,25,3,2025
Belmore Station,Exit,25,3,2025
Berala Station,Entry,46823,3,2025
Berala Station,Exit,44328,3,2025
Berowra Station,Entry,29057,3,2025
Berowra Station,Exit,26651,3,2025
Beverly Hills Station,Entry,48351,3,2025
Beverly Hills Station,Exit,43496,3,2025
Bexley North Station,Entry,31600,3,2025
Bexley North Station,Exit,28859,3,2025
Birrong Station,Entry,10490,3,2025
Birrong Station,Exit,10679,3,2025
Blacktown Station,Entry,360536,3,2025
Blacktown Station,Exit,374234,3,2025
Bondi Junction Station,Entry,595278,3,2025
Bondi Junction Station,Exit,583772,3,2025
Burwood Station,Entry,502383,3,2025
Burwood Station,Exit,512144,3,2025
Cabramatta Station,Entry,181825,3,2025
Cabramatta Station,Exit,179311,3,2025
Campbelltown Station,Entry,138055,3,2025
Campbelltown Station,Exit,137306,3,2025
Campsie Station,Entry,25,3,2025
Campsie Station,Exit,25,3,2025
Canley Vale Station,Entry,59713,3,2025
Canley Vale Station,Exit,53886,3,2025
Canterbury Station,Entry,25,3,2025
Canterbury Station,Exit,25,3,2025
Caringbah Station,Entry,60126,3,2025
Caringbah Station,Exit,55880,3,2025
Carlton Station,Entry,67495,3,2025
Carlton Station,Exit,61424,3,2025
Carramar Station,Entry,14039,3,2025
Carramar Station,Exit,12125,3,2025
Casula Station,Entry,9911,3,2025
Casula Station,Exit,8720,3,2025
Central Station,Entry,2412586,3,2025
Central Station,Exit,2462188,3,2025
Chatswood Station,Entry,864899,3,2025
Chatswood Station,Exit,898301,3,2025
Cheltenham Station,Entry,25803,3,2025
Cheltenham Station,Exit,21686,3,2025
Chester Hill Station,Entry,27401,3,2025
Chester Hill Station,Exit,25204,3,2025
Circular Quay Station,Entry,552964,3,2025
Circular Quay Station,Exit,546729,3,2025
Clarendon Station,Entry,1471,3,2025
Clarendon Station,Exit,1453,3,2025
Clyde Station,Entry,22453,3,2025
Clyde Station,Exit,21942,3,2025
Como Station,Entry,15486,3,2025
Como Station,Exit,12934,3,2025
Concord West Station,Entry,48617,3,2025
Concord West Station,Exit,46592,3,2025
Cronulla Station,Entry,57074,3,2025
Cronulla Station,Exit,56175,3,2025
Croydon Station,Entry,57490,3,2025
Croydon Station,Exit,52258,3,2025
Denistone Station,Entry,13859,3,2025
Denistone Station,Exit,13021,3,2025
Doonside Station,Entry,66422,3,2025
Doonside Station,Exit,59349,3,2025
Dulwich Hill Station,Entry,25,3,2025
Dulwich Hill Station,Exit,25,3,2025
East Hills Station,Entry,19948,3,2025
East Hills Station,Exit,19304,3,2025
East Richmond Station,Entry,5061,3,2025
East Richmond Station,Exit,7608,3,2025
Eastwood Station,Entry,173547,3,2025
Eastwood Station,Exit,175161,3,2025
Edgecliff Station,Entry,210184,3,2025
Edgecliff Station,Exit,201353,3,2025
Edmondson Park Station,Entry,105491,3,2025
Edmondson Park Station,Exit,100124,3,2025
Emu Plains Station,Entry,24270,3,2025
Emu Plains Station,Exit,23742,3,2025
Engadine Station,Entry,27839,3,2025
Engadine Station,Exit,25897,3,2025
Epping Station,Entry,400047,3,2025
Epping Station,Exit,397039,3,2025
Erskineville Station,Entry,58533,3,2025
Erskineville Station,Exit,52776,3,2025
Fairfield Station,Entry,148513,3,2025
Fairfield Station,Exit,143314,3,2025
Flemington Station,Entry,128071,3,2025
Flemington Station,Exit,123257,3,2025
Glenfield Station,Entry,149006,3,2025
Glenfield Station,Exit,141159,3,2025
Gordon Station,Entry,163778,3,2025
Gordon Station,Exit,158667,3,2025
Granville Station,Entry,211765,3,2025
Granville Station,Exit,202870,3,2025
Green Square Station,Entry,224978,3,2025
Green Square Station,Exit,218954,3,2025
Guildford Station,Entry,69388,3,2025
Guildford Station,Exit,61821,3,2025
Gymea Station,Entry,45151,3,2025
Gymea Station,Exit,41574,3,2025
Harris Park Station,Entry,62688,3,2025
Harris Park Station,Exit,64024,3,2025
Heathcote Station,Entry,11507,3,2025
Heathcote Station,Exit,11313,3,2025
Helensburgh Station,Entry,10308,3,2025
Helensburgh Station,Exit,9535,3,2025
Holsworthy Station,Entry,69010,3,2025
Holsworthy Station,Exit,64913,3,2025
Homebush Station,Entry,99279,3,2025
Homebush Station,Exit,94497,3,2025
Hornsby Station,Entry,301269,3,2025
Hornsby Station,Exit,305587,3,2025
Hurlstone Park Station,Entry,25,3,2025
Hurlstone Park Station,Exit,25,3,2025
Hurstville Station,Entry,478468,3,2025
Hurstville Station,Exit,486353,3,2025
Ingleburn Station,Entry,70891,3,2025
Ingleburn Station,Exit,70168,3,2025
Jannali Station,Entry,57066,3,2025
Jannali Station,Exit,53976,3,2025
Killara Station,Entry,49933,3,2025
Killara Station,Exit,47707,3,2025
Kings Cross Station,Entry,370482,3,2025
Kings Cross Station,Exit,380097,3,2025
Kingsgrove Station,Entry,53429,3,2025
Kingsgrove Station,Exit,51048,3,2025
Kingswood Station,Entry,53078,3,2025
Kingswood Station,Exit,49971,3,2025
Kirrawee Station,Entry,40845,3,2025
Kirrawee Station,Exit,38911,3,2025
Kogarah Station,Entry,254577,3,2025
Kogarah Station,Exit,244513,3,2025
Lakemba Station,Entry,25,3,2025
Lakemba Station,Exit,25,3,2025
Leightonfield Station,Entry,4907,3,2025
Leightonfield Station,Exit,4917,3,2025
Leppington Station,Entry,104448,3,2025
Leppington Station,Exit,99990,3,2025
Leumeah Station,Entry,60435,3,2025
Leumeah Station,Exit,57555,3,2025
Lewisham Station,Entry,64896,3,2025
Lewisham Station,Exit,61725,3,2025
Lidcombe Station,Entry,336276,3,2025
Lidcombe Station,Exit,330824,3,2025
Lindfield Station,Entry,95369,3,2025
Lindfield Station,Exit,91798,3,2025
Liverpool Station,Entry,209622,3,2025
Liverpool Station,Exit,205852,3,2025
Loftus Station,Entry,9582,3,2025
Loftus Station,Exit,8750,3,2025
Macarthur Station,Entry,73706,3,2025
Macarthur Station,Exit,70982,3,2025
Macdonaldtown Station,Entry,28732,3,2025
Macdonaldtown Station,Exit,28250,3,2025
Macquarie Fields Station,Entry,22821,3,2025
Macquarie Fields Station,Exit,20868,3,2025
Marayong Station,Entry,24054,3,2025
Marayong Station,Exit,21851,3,2025
Marrickville Station,Entry,25,3,2025
Marrickville Station,Exit,25,3,2025
Martin Place Station,Entry,902573,3,2025
Martin Place Station,Exit,1020165,3,2025
Mascot Station,Entry,387932,3,2025
Mascot Station,Exit,390571,3,2025
Meadowbank Station,Entry,128183,3,2025
Meadowbank Station,Exit,114891,3,2025
Merrylands Station,Entry,148574,3,2025
Merrylands Station,Exit,143597,3,2025
Milsons Point Station,Entry,170585,3,2025
Milsons Point Station,Exit,176657,3,2025
Minto Station,Entry,68251,3,2025
Minto Station,Exit,64619,3,2025
Miranda Station,Entry,78964,3,2025
Miranda Station,Exit,79691,3,2025
Mortdale Station,Entry,79154,3,2025
Mortdale Station,Exit,71496,3,2025
Mount Colah Station,Entry,14797,3,2025
Mount Colah Station,Exit,13365,3,2025
Mount Druitt Station,Entry,147199,3,2025
Mount Druitt Station,Exit,145684,3,2025
Mount Kuring-gai Station,Entry,4984,3,2025
Mount Kuring-gai Station,Exit,4708,3,2025
Mulgrave Station,Entry,5528,3,2025
Mulgrave Station,Exit,5432,3,2025
Museum Station,Entry,224312,3,2025
Museum Station,Exit,257693,3,2025
Narwee Station,Entry,42951,3,2025
Narwee Station,Exit,38994,3,2025
Newtown Station,Entry,256539,3,2025
Newtown Station,Exit,287562,3,2025
Normanhurst Station,Entry,32028,3,2025
Normanhurst Station,Exit,25158,3,2025
North Strathfield Station,Entry,65916,3,2025
North Strathfield Station,Exit,64608,3,2025
North Sydney Station,Entry,264706,3,2025
North Sydney Station,Exit,285823,3,2025
Oatley Station,Entry,46366,3,2025
Oatley Station,Exit,43334,3,2025
Olympic Park Station,Entry,93306,3,2025
Olympic Park Station,Exit,104035,3,2025
Padstow Station,Entry,59567,3,2025
Padstow Station,Exit,55499,3,2025
Panania Station,Entry,39005,3,2025
Panania Station,Exit,35913,3,2025
Parramatta Station,Entry,997794,3,2025
Parramatta Station,Exit,1007387,3,2025
Pendle Hill Station,Entry,74312,3,2025
Pendle Hill Station,Exit,68961,3,2025
Pennant Hills Station,Entry,44195,3,2025
Pennant Hills Station,Exit,42628,3,2025
Penrith Station,Entry,174517,3,2025
Penrith Station,Exit,179332,3,2025
Penshurst Station,Entry,70566,3,2025
Penshurst Station,Exit,59740,3,2025
Petersham Station,Entry,86305,3,2025
Petersham Station,Exit,82914,3,2025
Pymble Station,Entry,56064,3,2025
Pymble Station,Exit,51081,3,2025
Quakers Hill Station,Entry,62955,3,2025
Quakers Hill Station,Exit,55279,3,2025
Redfern Station,Entry,719325,3,2025
Redfern Station,Exit,766396,3,2025
Regents Park Station,Entry,33016,3,2025
Regents Park Station,Exit,30220,3,2025
Revesby Station,Entry,131389,3,2025
Revesby Station,Exit,128478,3,2025
Rhodes Station,Entry,247846,3,2025
Rhodes Station,Exit,241758,3,2025
Richmond Station,Entry,19968,3,2025
Richmond Station,Exit,16128,3,2025
Riverstone Station,Entry,28213,3,2025
Riverstone Station,Exit,25837,3,2025
Riverwood Station,Entry,78124,3,2025
Riverwood Station,Exit,73748,3,2025
Rockdale Station,Entry,238363,3,2025
Rockdale Station,Exit,232123,3,2025
Rooty Hill Station,Entry,85257,3,2025
Rooty Hill Station,Exit,80271,3,2025
Roseville Station,Entry,71138,3,2025
Roseville Station,Exit,67247,3,2025
Schofields Station,Entry,100150,3,2025
Schofields Station,Exit,94243,3,2025
Sefton Station,Entry,20221,3,2025
Sefton Station,Exit,17878,3,2025
Seven Hills Station,Entry,141955,3,2025
Seven Hills Station,Exit,134520,3,2025
St James Station,Entry,165836,3,2025
St James Station,Exit,189885,3,2025
St Leonards Station,Entry,254846,3,2025
St Leonards Station,Exit,257711,3,2025
St Marys Station,Entry,107733,3,2025
St Marys Station,Exit,104637,3,2025
St Peters Station,Entry,66399,3,2025
St Peters Station,Exit,57792,3,2025
Stanmore Station,Entry,73703,3,2025
Stanmore Station,Exit,66956,3,2025
Strathfield Station,Entry,630627,3,2025
Strathfield Station,Exit,620604,3,2025
Summer Hill Station,Entry,82960,3,2025
Summer Hill Station,Exit,77574,3,2025
Sutherland Station,Entry,159158,3,2025
Sutherland Station,Exit,158071,3,2025
Sydenham Station,Entry,503272,3,2025
Sydenham Station,Exit,494516,3,2025
Tempe Station,Entry,34531,3,2025
Tempe Station,Exit,31792,3,2025
Thornleigh Station,Entry,41394,3,2025
Thornleigh Station,Exit,39718,3,2025
Toongabbie Station,Entry,68562,3,2025
Toongabbie Station,Exit,65024,3,2025
Town Hall Station,Entry,1825801,3,2025
Town Hall Station,Exit,1742006,3,2025
Turramurra Station,Entry,91114,3,2025
Turramurra Station,Exit,85187,3,2025
Turrella Station,Entry,25480,3,2025
Turrella Station,Exit,23461,3,2025
Villawood Station,Entry,11264,3,2025
Villawood Station,Exit,10957,3,2025
Vineyard Station,Entry,3747,3,2025
Vineyard Station,Exit,3559,3,2025
Wahroonga Station,Entry,48217,3,2025
Wahroonga Station,Exit,44860,3,2025
Waitara Station,Entry,73498,3,2025
Waitara Station,Exit,67345,3,2025
Warrawee Station,Entry,23727,3,2025
Warrawee Station,Exit,21510,3,2025
Warwick Farm Station,Entry,56916,3,2025
Warwick Farm Station,Exit,51074,3,2025
Waterfall Station,Entry,8965,3,2025
Waterfall Station,Exit,8893,3,2025
Waverton Station,Entry,47289,3,2025
Waverton Station,Exit,41471,3,2025
Wentworthville Station,Entry,89383,3,2025
Wentworthville Station,Exit,85746,3,2025
Werrington Station,Entry,29955,3,2025
Werrington Station,Exit,26419,3,2025
West Ryde Station,Entry,112751,3,2025
West Ryde Station,Exit,113647,3,2025
Westmead Station,Entry,158391,3,2025
Westmead Station,Exit,148467,3,2025
Wiley Park Station,Entry,25,3,2025
Wiley Park Station,Exit,25,3,2025
Windsor Station,Entry,16513,3,2025
Windsor Station,Exit,15980,3,2025
Wolli Creek Station,Entry,241328,3,2025
Wolli Creek Station,Exit,244350,3,2025
Wollstonecraft Station,Entry,49826,3,2025
Wollstonecraft Station,Exit,45607,3,2025
Woolooware Station,Entry,28360,3,2025
Woolooware Station,Exit,26659,3,2025
Wynyard Station,Entry,1160596,3,2025
Wynyard Station,Exit,1223375,3,2025
Yagoona Station,Entry,22703,3,2025
Yagoona Station,Exit,20909,3,2025
Yennora Station,Entry,26041,3,2025
Yennora Station,Exit,26602,3,2025
Allawah Station,Entry,57225,4,2025
Allawah Station,Exit,51016,4,2025
Arncliffe Station,Entry,53544,4,2025
Arncliffe Station,Exit,48311,4,2025
Artarmon Station,Entry,89971,4,2025
Artarmon Station,Exit,85170,4,2025
Ashfield Station,Entry,238540,4,2025
Ashfield Station,Exit,235209,4,2025
Asquith Station,Entry,27827,4,2025
Asquith Station,Exit,25107,4,2025
Auburn Station,Entry,344925,4,2025
Auburn Station,Exit,329592,4,2025
Banksia Station,Entry,33654,4,2025
Banksia Station,Exit,30193,4,2025
Bankstown Station,Entry,60164,4,2025
Bankstown Station,Exit,61941,4,2025
Bardwell Park Station,Entry,22914,4,2025
Bardwell Park Station,Exit,20340,4,2025
Beecroft Station,Entry,29242,4,2025
Beecroft Station,Exit,28441,4,2025
Berala Station,Entry,44679,4,2025
Berala Station,Exit,41361,4,2025
Berowra Station,Entry,26057,4,2025
Berowra Station,Exit,23547,4,2025
Beverly Hills Station,Entry,44617,4,2025
Beverly Hills Station,Exit,40377,4,2025
Bexley North Station,Entry,29817,4,2025
Bexley North Station,Exit,26871,4,2025
Birrong Station,Entry,8329,4,2025
Birrong Station,Exit,8441,4,2025
Blacktown Station,Entry,337630,4,2025
Blacktown Station,Exit,347570,4,2025
Bondi Junction Station,Entry,504803,4,2025
Bondi Junction Station,Exit,497711,4,2025
Burwood Station,Entry,494468,4,2025
Burwood Station,Exit,504518,4,2025
Cabramatta Station,Entry,184686,4,2025
Cabramatta Station,Exit,182677,4,2025
Campbelltown Station,Entry,128337,4,2025
Campbelltown Station,Exit,127541,4,2025
Campsie Station,Entry,25,4,2025
Campsie Station,Exit,25,4,2025
Canley Vale Station,Entry,57645,4,2025
Canley Vale Station,Exit,52553,4,2025
Canterbury Station,Entry,25,4,2025
Canterbury Station,Exit,25,4,2025
Caringbah Station,Entry,54034,4,2025
Caringbah Station,Exit,51465,4,2025
Carlton Station,Entry,60008,4,2025
Carlton Station,Exit,54833,4,2025
Carramar Station,Entry,13561,4,2025
Carramar Station,Exit,11687,4,2025
Casula Station,Entry,9161,4,2025
Casula Station,Exit,8237,4,2025
Central Station,Entry,2174771,4,2025
Central Station,Exit,2242834,4,2025
Chatswood Station,Entry,785144,4,2025
Chatswood Station,Exit,811436,4,2025
Cheltenham Station,Entry,17886,4,2025
Cheltenham Station,Exit,15568,4,2025
Chester Hill Station,Entry,26572,4,2025
Chester Hill Station,Exit,24758,4,2025
Circular Quay Station,Entry,543667,4,2025
Circular Quay Station,Exit,538844,4,2025
Clarendon Station,Entry,1681,4,2025
Clarendon Station,Exit,1589,4,2025
Clyde Station,Entry,21214,4,2025
Clyde Station,Exit,19809,4,2025
Como Station,Entry,14171,4,2025
Como Station,Exit,11883,4,2025
Concord West Station,Entry,44260,4,2025
Concord West Station,Exit,42620,4,2025
Cronulla Station,Entry,61039,4,2025
Cronulla Station,Exit,61091,4,2025
Croydon Station,Entry,48230,4,2025
Croydon Station,Exit,43571,4,2025
Denistone Station,Entry,12111,4,2025
Denistone Station,Exit,10864,4,2025
Doonside Station,Entry,62568,4,2025
Doonside Station,Exit,56097,4,2025
East Hills Station,Entry,18639,4,2025
East Hills Station,Exit,16877,4,2025
East Richmond Station,Entry,4333,4,2025
East Richmond Station,Exit,5770,4,2025
Eastwood Station,Entry,161410,4,2025
Eastwood Station,Exit,163022,4,2025
Edgecliff Station,Entry,173686,4,2025
Edgecliff Station,Exit,167927,4,2025
Edmondson Park Station,Entry,97896,4,2025
Edmondson Park Station,Exit,93476,4,2025
Emu Plains Station,Entry,23993,4,2025
Emu Plains Station,Exit,22307,4,2025
Engadine Station,Entry,24086,4,2025
Engadine Station,Exit,22746,4,2025
Epping Station,Entry,344641,4,2025
Epping Station,Exit,337466,4,2025
Erskineville Station,Entry,55051,4,2025
Erskineville Station,Exit,50554,4,2025
Fairfield Station,Entry,131904,4,2025
Fairfield Station,Exit,126879,4,2025
Flemington Station,Entry,120301,4,2025
Flemington Station,Exit,114599,4,2025
Glenfield Station,Entry,116245,4,2025
Glenfield Station,Exit,108281,4,2025
Gordon Station,Entry,136408,4,2025
Gordon Station,Exit,133973,4,2025
Granville Station,Entry,160509,4,2025
Granville Station,Exit,150988,4,2025
Green Square Station,Entry,207543,4,2025
Green Square Station,Exit,200423,4,2025
Guildford Station,Entry,65858,4,2025
Guildford Station,Exit,58682,4,2025
Gymea Station,Entry,42366,4,2025
Gymea Station,Exit,38648,4,2025
Harris Park Station,Entry,65405,4,2025
Harris Park Station,Exit,65894,4,2025
Heathcote Station,Entry,10302,4,2025
Heathcote Station,Exit,10327,4,2025
Helensburgh Station,Entry,9045,4,2025
Helensburgh Station,Exit,8190,4,2025
Holsworthy Station,Entry,62481,4,2025
Holsworthy Station,Exit,58870,4,2025
Homebush Station,Entry,90285,4,2025
Homebush Station,Exit,85599,4,2025
Hornsby Station,Entry,263212,4,2025
Hornsby Station,Exit,265574,4,2025
Hurstville Station,Entry,448667,4,2025
Hurstville Station,Exit,451106,4,2025
Ingleburn Station,Entry,66982,4,2025
Ingleburn Station,Exit,65903,4,2025
Jannali Station,Entry,51342,4,2025
Jannali Station,Exit,48764,4,2025
Killara Station,Entry,43621,4,2025
Killara Station,Exit,41241,4,2025
Kings Cross Station,Entry,300584,4,2025
Kings Cross Station,Exit,311759,4,2025
Kingsgrove Station,Entry,47835,4,2025
Kingsgrove Station,Exit,45626,4,2025
Kingswood Station,Entry,47796,4,2025
Kingswood Station,Exit,44902,4,2025
Kirrawee Station,Entry,38369,4,2025
Kirrawee Station,Exit,37224,4,2025
Kogarah Station,Entry,233603,4,2025
